Match Number,Stage,Host Team,Away Team,Venue,City,Country,Date,Time,Lounge Type,Original Price,Original Currency,Price (USD),Portal
30,"GROUP STAGE MATCHES","Scotland","Morocco","Boston Stadium","Foxborough","United States","June 19","Friday, 6pm ET","VIP ",2850,USD,2850,United States
30,"GROUP STAGE MATCHES","Scotland","Morocco","Boston Stadium","Foxborough","United States","June 19","Friday, 6pm ET","Trophy Lounge",2350,USD,2350,United States
30,"GROUP STAGE MATCHES","Scotland","Morocco","Boston Stadium","Foxborough","United States","June 19","Friday, 6pm ET","Champions Club",2050,USD,2050,United States
31,"GROUP STAGE MATCHES","European Play-Off C","Paraguay","San Francisco Bay Area Stadium","Santa Clara","United States","June 19","Friday, 9pm PT","Pitchside Lounge",3400,USD,3400,United States
31,"GROUP STAGE MATCHES","European Play-Off C","Paraguay","San Francisco Bay Area Stadium","Santa Clara","United States","June 19","Friday, 9pm PT","VIP ",2900,USD,2900,United States
31,"GROUP STAGE MATCHES","European Play-Off C","Paraguay","San Francisco Bay Area Stadium","Santa Clara","United States","June 19","Friday, 9pm PT","Trophy Lounge",2375,USD,2375,United States
31,"GROUP STAGE MATCHES","European Play-Off C","Paraguay","San Francisco Bay Area Stadium","Santa Clara","United States","June 19","Friday, 9pm PT","Champions Club",2100,USD,2100,United States
32,"GROUP STAGE MATCHES","USA","Australia","Seattle Stadium","Seattle","United States","June 19","Friday, 12pm PT","Pitchside Lounge",5500,USD,5500,United States
32,"GROUP STAGE MATCHES","USA","Australia","Seattle Stadium","Seattle","United States","June 19","Friday, 12pm PT","VIP ",4700,USD,4700,United States
32,"GROUP STAGE MATCHES","USA","Australia","Seattle Stadium","Seattle","United States","June 19","Friday, 12pm PT","Trophy Lounge",4100,USD,4100,United States
32,"GROUP STAGE MATCHES","USA","Australia","Seattle Stadium","Seattle","United States","June 19","Friday, 12pm PT","Champions Club",2975,USD,2975,United States
32,"GROUP STAGE MATCHES","USA","Australia","Seattle Stadium","Seattle","United States","June 19","Friday, 12pm PT","FIFA Pavilion",2650,USD,2650,United States
33,"GROUP STAGE MATCHES","Germany","Côte d'Ivoire","Toronto Stadium","Toronto","Canada","June 20","Saturday, 4pm ET","Pitchside Lounge",5500,CAD,4015,Canada
33,"GROUP STAGE MATCHES","Germany","Côte d'Ivoire","Toronto Stadium","Toronto","Canada","June 20","Saturday, 4pm ET","VIP ",4750,CAD,3467,Canada
33,"GROUP STAGE MATCHES","Germany","Côte d'Ivoire","Toronto Stadium","Toronto","Canada","June 20","Saturday, 4pm ET","Lounge 1930 ",4750,CAD,3467,Canada
33,"GROUP STAGE MATCHES","Germany","Côte d'Ivoire","Toronto Stadium","Toronto","Canada","June 20","Saturday, 4pm ET","Trophy Lounge",3800,CAD,2774,Canada
33,"GROUP STAGE MATCHES","Germany","Côte d'Ivoire","Toronto Stadium","Toronto","Canada","June 20","Saturday, 4pm ET","Champions Club",3300,CAD,2409,Canada
33,"GROUP STAGE MATCHES","Germany","Côte d'Ivoire","Toronto Stadium","Toronto","Canada","June 20","Saturday, 4pm ET","FIFA Pavilion",2500,CAD,1825,Canada
34,"GROUP STAGE MATCHES","Ecuador","Curaçao","Kansas City Stadium","Kansas City","United States","June 20","Saturday, 7pm CT","Pitchside Lounge",3350,USD,3350,United States
34,"GROUP STAGE MATCHES","Ecuador","Curaçao","Kansas City Stadium","Kansas City","United States","June 20","Saturday, 7pm CT","VIP ",2850,USD,2850,United States
34,"GROUP STAGE MATCHES","Ecuador","Curaçao","Kansas City Stadium","Kansas City","United States","June 20","Saturday, 7pm CT","Trophy Lounge",2400,USD,2400,United States
34,"GROUP STAGE MATCHES","Ecuador","Curaçao","Kansas City Stadium","Kansas City","United States","June 20","Saturday, 7pm CT","Champions Club",2050,USD,2050,United States
34,"GROUP STAGE MATCHES","Ecuador","Curaçao","Kansas City Stadium","Kansas City","United States","June 20","Saturday, 7pm CT","FIFA Pavilion",1475,USD,1475,United States
35,"GROUP STAGE MATCHES","Netherlands","European Play-Off B","Houston Stadium","Houston","United States","June 20","Saturday, 12pm CT","Pitchside Lounge",3300,USD,3300,United States
35,"GROUP STAGE MATCHES","Netherlands","European Play-Off B","Houston Stadium","Houston","United States","June 20","Saturday, 12pm CT","VIP ",2800,USD,2800,United States
35,"GROUP STAGE MATCHES","Netherlands","European Play-Off B","Houston Stadium","Houston","United States","June 20","Saturday, 12pm CT","Trophy Lounge",2480,USD,2480,United States
36,"GROUP STAGE MATCHES","Tunisia","Japan","Monterrey Stadium","Guadalupe","Mexico","June 20","Saturday, 10pm CT","Pitchside Lounge",91000,MXN,5257,Mexico
36,"GROUP STAGE MATCHES","Tunisia","Japan","Monterrey Stadium","Guadalupe","Mexico","June 20","Saturday, 10pm CT","VIP ",81450,MXN,4705,Mexico
36,"GROUP STAGE MATCHES","Tunisia","Japan","Monterrey Stadium","Guadalupe","Mexico","June 20","Saturday, 10pm CT","Trophy Lounge",69400,MXN,4009,Mexico
36,"GROUP STAGE MATCHES","Tunisia","Japan","Monterrey Stadium","Guadalupe","Mexico","June 20","Saturday, 10pm CT","Champions Club",62350,MXN,3602,Mexico
