Match Number,Host Team,Away Team,Venue,City,Country,Date,Time,Lounge Type,Price USD
65,"Cabo Verde","Saudi Arabia","Houston Stadium","Houston","United States","June 26","Friday, 7pm CT","Trophy Lounge",2430
70,"Jordan","Argentina","Dallas Stadium","Arlington","United States","June 27","Saturday, 9pm CT","Pitchside Lounge",3795
70,"Jordan","Argentina","Dallas Stadium","Arlington","United States","June 27","Saturday, 9pm CT","VIP ",3595
70,"Jordan","Argentina","Dallas Stadium","Arlington","United States","June 27","Saturday, 9pm CT","Trophy Lounge",2490
71,"Colombia","Portugal","Miami Stadium","Miami Gardens","United States","June 27","Saturday, 7pm ET","Pitchside Lounge",7200
71,"Colombia","Portugal","Miami Stadium","Miami Gardens","United States","June 27","Saturday, 7pm ET","VIP ",4420
71,"Colombia","Portugal","Miami Stadium","Miami Gardens","United States","June 27","Saturday, 7pm ET","Trophy Lounge",3800
71,"Colombia","Portugal","Miami Stadium","Miami Gardens","United States","June 27","Saturday, 7pm ET","Champions Club",3220
71,"Colombia","Portugal","Miami Stadium","Miami Gardens","United States","June 27","Saturday, 7pm ET","FIFA Pavilion",2800
69,"Algeria","Austria","Kansas City Stadium","Kansas City","United States","June 27","Saturday, 9pm CT","Pitchside Lounge",3350
69,"Algeria","Austria","Kansas City Stadium","Kansas City","United States","June 27","Saturday, 9pm CT","VIP ",2850
69,"Algeria","Austria","Kansas City Stadium","Kansas City","United States","June 27","Saturday, 9pm CT","Trophy Lounge",2400
69,"Algeria","Austria","Kansas City Stadium","Kansas City","United States","June 27","Saturday, 9pm CT","Champions Club",2050
69,"Algeria","Austria","Kansas City Stadium","Kansas City","United States","June 27","Saturday, 9pm CT","FIFA Pavilion",1475
72,"FIFA Play-Off 1","Uzbekistan","Atlanta Stadium","Atlanta","United States","June 27","Saturday, 7pm ET","Pitchside Lounge",3500
72,"FIFA Play-Off 1","Uzbekistan","Atlanta Stadium","Atlanta","United States","June 27","Saturday, 7pm ET","VIP ",2950
72,"FIFA Play-Off 1","Uzbekistan","Atlanta Stadium","Atlanta","United States","June 27","Saturday, 7pm ET","Trophy Lounge",2400
72,"FIFA Play-Off 1","Uzbekistan","Atlanta Stadium","Atlanta","United States","June 27","Saturday, 7pm ET","Champions Club",2150
